City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Bathsheba,13.22,-59.52,84.2,70,40,4.7,BB,2020-10-18
Touros,-5.2,-35.46,80.6,69,20,12.75,BR,2020-10-18
Terrace,54.52,-128.6,39.2,64,90,11.41,CA,2020-10-18
Kalmunai,7.42,81.82,78.69,82,95,2.17,LK,2020-10-18
Chui,-33.7,-53.46,72.48,70,0,7.63,UY,2020-10-18
Leningradskiy,69.38,178.42,22.77,88,0,6.46,RU,2020-10-18
San Policarpo,12.18,125.51,79.63,86,100,8.7,PH,2020-10-18
Hobyo,5.35,48.53,79.86,77,15,15.88,SO,2020-10-18
Plomari,38.98,26.37,68.0,82,20,6.93,GR,2020-10-18
Malindi,-3.22,40.12,77.94,80,0,11.48,KE,2020-10-18
Acapulco de Juárez,16.86,-99.89,87.8,74,75,9.17,MX,2020-10-18
Ixtapa,20.7,-105.2,89.6,66,75,4.7,MX,2020-10-18
Ancud,-41.87,-73.82,55.0,71,75,16.11,CL,2020-10-18
Mahébourg,-20.41,57.7,73.4,78,40,11.41,MU,2020-10-18
Vilyuysk,63.76,121.62,8.35,94,45,2.51,RU,2020-10-18
San Ramon,37.78,-121.98,89.01,16,1,6.93,US,2020-10-18
Nelson Bay,-32.72,152.15,63.0,93,75,9.17,AU,2020-10-18
Vila Franca do Campo,37.72,-25.43,59.0,62,20,8.05,PT,2020-10-18
Watsa,3.04,29.54,63.77,100,61,2.17,CD,2020-10-18
Emerald,-23.53,148.17,66.0,77,0,6.93,AU,2020-10-18
Khandyga,62.67,135.6,14.77,97,99,2.98,RU,2020-10-18
Stornoway,58.21,-6.39,46.4,87,100,9.17,GB,2020-10-18
Caravelas,-17.71,-39.25,72.95,80,54,8.43,BR,2020-10-18
Muhos,64.81,25.99,36.0,100,90,6.93,FI,2020-10-18
Barrow,71.29,-156.79,21.2,79,1,16.11,US,2020-10-18
Codrington,-38.27,141.97,47.53,95,39,5.99,AU,2020-10-18
Le Mans,48.0,0.2,46.4,87,90,3.36,FR,2020-10-18
Pacific Grove,36.62,-121.92,81.0,41,1,6.49,US,2020-10-18
Ladyzhyn,48.69,29.24,43.0,89,0,8.75,UA,2020-10-18
Kismayo,-0.36,42.55,78.26,77,92,11.97,SO,2020-10-18
San Rafael,-34.62,-68.33,82.08,21,0,13.62,AR,2020-10-18
Deputatsky,69.3,139.9,12.51,95,100,8.81,RU,2020-10-18
Torbay,47.67,-52.73,54.0,93,90,6.93,CA,2020-10-18
Bafoulabé,13.81,-10.83,86.41,26,2,2.59,ML,2020-10-18
Tiksi,71.69,128.87,17.17,95,100,14.14,RU,2020-10-18
Lagoa,39.05,-27.98,62.89,73,54,21.41,PT,2020-10-18
Manturovo,58.34,44.76,42.21,91,100,12.44,RU,2020-10-18
Peniche,39.36,-9.38,60.01,79,100,9.24,PT,2020-10-18
High Level,58.52,-117.14,24.8,62,75,3.36,CA,2020-10-18
Kīhei,20.79,-156.47,87.8,55,40,5.82,US,2020-10-18
Cabo San Lucas,22.89,-109.91,90.0,70,40,2.24,MX,2020-10-18
Nioro,13.35,-15.75,80.6,71,0,5.41,GM,2020-10-18
Port-Gentil,-0.72,8.78,78.8,88,75,8.05,GA,2020-10-18
Bafia,4.75,11.23,70.21,93,100,1.59,CM,2020-10-18
Līsakovsk,52.54,62.49,40.1,62,80,14.25,KZ,2020-10-18
Bethel,41.37,-73.41,59.0,71,96,1.99,US,2020-10-18
Hudson Bay,52.85,-102.38,31.96,81,66,11.41,CA,2020-10-18
Zyryanka,65.75,150.85,19.47,92,95,1.45,RU,2020-10-18
Manzanillo,20.34,-77.12,86.16,69,94,1.52,CU,2020-10-18
Yellowknife,62.46,-114.35,28.99,86,90,6.93,CA,2020-10-18
Fairbanks,64.84,-147.72,21.99,67,90,1.66,US,2020-10-18
Shizukuishi,39.68,140.98,49.26,87,100,1.32,JP,2020-10-18
Yarmouth,41.71,-70.23,57.2,54,1,8.05,US,2020-10-18
Khatanga,71.97,102.5,7.12,85,42,8.5,RU,2020-10-18
North Platte,41.12,-100.77,39.2,51,1,4.7,US,2020-10-18
Souillac,-20.52,57.52,73.4,78,40,11.41,MU,2020-10-18
Kholm,59.27,32.85,37.53,96,100,8.1,RU,2020-10-18
Arraial do Cabo,-22.97,-42.03,73.4,73,40,16.11,BR,2020-10-18
Balikpapan,-1.27,116.83,75.54,92,97,3.2,ID,2020-10-18
Camargo,27.67,-105.17,88.29,19,0,1.95,MX,2020-10-18
Ribeira Grande,38.52,-28.7,62.6,72,40,19.46,PT,2020-10-18
Gornopravdinsk,60.05,69.9,27.93,98,89,8.21,RU,2020-10-18
Puri,19.8,85.85,77.0,100,40,9.44,IN,2020-10-18
Oriximiná,-1.77,-55.87,91.27,43,100,0.34,BR,2020-10-18
Isangel,-19.55,169.27,76.35,63,3,5.68,VU,2020-10-18
Tessalit,20.2,1.01,85.6,15,0,11.77,ML,2020-10-18
Kotelnikowo,47.63,43.15,62.4,79,97,10.09,RU,2020-10-18
Castro,-24.79,-50.01,66.04,80,100,7.47,BR,2020-10-18
Hithadhoo,-0.6,73.08,83.35,76,100,14.9,MV,2020-10-18
Launceston,-41.45,147.17,48.0,93,10,3.36,AU,2020-10-18
Nueva Gerona,21.88,-82.8,85.17,68,40,13.2,CU,2020-10-18
Pontianak,-0.03,109.33,75.87,92,99,3.2,ID,2020-10-18
Bima,-8.47,118.72,76.08,87,6,4.25,ID,2020-10-18
Hokitika,-42.72,170.97,52.75,93,100,9.69,NZ,2020-10-18
Guerrero Negro,27.98,-114.06,83.46,44,95,12.01,MX,2020-10-18
Jérémie,18.65,-74.12,82.92,72,98,3.69,HT,2020-10-18
Cape Town,-33.93,18.42,61.0,82,20,13.87,ZA,2020-10-18
Visby,57.64,18.3,48.0,57,7,23.04,SE,2020-10-18
Benito Juarez,19.39,-99.17,75.2,33,40,6.93,MX,2020-10-18
Mar del Plata,-38.0,-57.56,71.6,78,56,4.7,AR,2020-10-18
Road Town,18.42,-64.62,84.2,74,20,3.36,VG,2020-10-18
Abu Dhabi,24.47,54.37,80.6,51,0,5.82,AE,2020-10-18
‘Āhuimanu,21.44,-157.84,84.2,66,40,3.36,US,2020-10-18
Sukumo,32.93,132.73,61.16,77,100,2.24,JP,2020-10-18
Vila Velha,-20.33,-40.29,69.8,94,90,4.7,BR,2020-10-18
Marawi,8.0,124.29,75.0,93,100,4.0,PH,2020-10-18
Coahuayana Viejo,18.73,-103.68,82.4,74,75,6.15,MX,2020-10-18
Jamestown,42.1,-79.24,57.0,50,90,14.99,US,2020-10-18
Manokwari,-0.87,134.08,80.4,75,100,5.37,ID,2020-10-18
Harper,4.38,-7.72,77.32,90,100,6.78,LR,2020-10-18
Ponta do Sol,32.67,-17.1,73.4,83,75,24.16,PT,2020-10-18
Wenling,28.37,121.36,64.0,97,94,9.13,CN,2020-10-18
Fortuna,40.6,-124.16,64.99,59,20,13.87,US,2020-10-18
Hofn,64.25,-15.21,42.96,84,87,21.34,IS,2020-10-18
Arlit,18.74,7.39,93.51,11,0,7.47,NE,2020-10-18
Saint Paul Harbor,57.79,-152.41,44.6,75,75,10.29,US,2020-10-18
Djambala,-2.54,14.75,67.35,94,84,1.43,CG,2020-10-18
Wanning,18.8,110.4,77.54,86,100,19.84,CN,2020-10-18
Cabedelo,-6.98,-34.83,80.6,69,20,12.75,BR,2020-10-18
Sur,22.57,59.53,83.1,37,8,15.08,OM,2020-10-18
Buala,-8.14,159.59,83.07,74,38,4.65,SB,2020-10-18
Wattegama,6.8,81.48,75.43,81,100,2.98,LK,2020-10-18
Jablah,35.36,35.93,69.8,77,22,3.36,SY,2020-10-18
Ilulissat,69.22,-51.1,42.8,45,100,17.22,GL,2020-10-18
Haines Junction,60.75,-137.51,24.94,78,100,0.89,CA,2020-10-18
Hurghada,27.26,33.81,78.8,61,0,4.7,EG,2020-10-18
Wajima,37.4,136.9,62.33,55,100,5.68,JP,2020-10-18
Lapua,62.97,23.01,33.01,98,80,1.01,FI,2020-10-18
San Juan,-31.54,-68.54,95.7,12,0,11.81,AR,2020-10-18
Batagay-Alyta,67.8,130.41,15.04,88,99,3.78,RU,2020-10-18
Biak,-0.91,122.88,76.01,81,94,5.5,ID,2020-10-18
Lebu,-37.62,-73.65,55.0,64,0,5.86,CL,2020-10-18
Riyadh,24.69,46.72,68.0,24,0,3.36,SA,2020-10-18
Sitka,57.05,-135.33,42.8,70,90,11.41,US,2020-10-18
Grindavik,63.84,-22.43,42.8,81,20,23.04,IS,2020-10-18
Upington,-28.45,21.26,80.6,9,0,1.12,ZA,2020-10-18
Upata,8.01,-62.4,83.01,70,75,1.07,VE,2020-10-18
Menongue,-14.66,17.69,70.66,25,0,3.85,AO,2020-10-18
Suozhen,36.95,118.1,55.2,40,95,2.26,CN,2020-10-18
Romanovka,51.74,42.75,45.7,71,48,8.88,RU,2020-10-18
Lompoc,34.64,-120.46,75.2,60,1,13.87,US,2020-10-18
Valparaíso,-33.04,-71.63,68.0,52,0,12.75,CL,2020-10-18
São Paulo de Olivença,-3.38,-68.87,82.62,68,99,3.53,BR,2020-10-18
Martapura,-3.42,114.85,75.2,100,90,8.05,ID,2020-10-18
Grahamstown,-33.3,26.53,50.74,98,29,0.6,ZA,2020-10-18
Taloda,21.57,74.22,78.57,84,100,6.06,IN,2020-10-18
Puerto Ayora,-0.74,-90.35,80.6,65,20,23.04,EC,2020-10-18
Westport,41.14,-73.36,62.6,51,40,9.17,US,2020-10-18
Mutare,-18.97,32.67,63.68,68,11,3.4,ZW,2020-10-18
Ulladulla,-35.35,150.47,57.0,100,75,6.93,AU,2020-10-18
Carnarvon,-24.87,113.63,68.0,88,75,12.75,AU,2020-10-18
Cascais,38.7,-9.42,64.0,77,73,3.36,PT,2020-10-18
Hasaki,35.73,140.83,48.2,100,75,5.82,JP,2020-10-18
Kiryat Gat,31.61,34.76,75.99,83,0,3.83,IL,2020-10-18
Nanortalik,60.14,-45.24,39.13,94,95,9.44,GL,2020-10-18
Naro,37.29,13.79,57.99,79,58,1.01,IT,2020-10-18
Jumla,29.27,82.18,51.08,64,2,4.68,NP,2020-10-18
Taoudenni,22.68,-3.98,84.51,15,0,10.58,ML,2020-10-18
Snina,48.99,22.15,41.0,90,96,3.31,SK,2020-10-18
Morón,-34.65,-58.62,91.4,49,20,12.75,AR,2020-10-18
Tsimmerbude,54.67,20.13,48.99,81,40,8.95,RU,2020-10-18
Akdepe,42.06,59.38,50.0,39,0,9.17,TM,2020-10-18
Provideniya,64.38,-173.3,35.6,80,75,4.47,RU,2020-10-18
Hervey Bay,-25.3,152.85,73.0,88,7,6.93,AU,2020-10-18
Matveyevka,52.15,56.18,41.0,75,0,4.47,RU,2020-10-18
Inhambane,-23.86,35.38,70.18,83,0,10.65,MZ,2020-10-18
Chernyshevskiy,63.01,112.47,17.02,97,91,8.34,RU,2020-10-18
Beringovskiy,63.05,179.32,34.68,84,0,3.53,RU,2020-10-18
Atambua,-9.11,124.89,72.91,80,9,2.26,ID,2020-10-18
Hay River,60.82,-115.8,26.6,58,75,8.05,CA,2020-10-18
Nizhniy Ingash,56.2,96.53,31.96,91,86,11.41,RU,2020-10-18
Leticia,-4.22,-69.94,84.2,79,75,4.7,CO,2020-10-18
Avarua,-21.21,-159.78,78.8,74,92,8.05,CK,2020-10-18
Kupang,-10.17,123.58,77.88,72,8,3.98,ID,2020-10-18
Kozhva,65.11,57.05,29.21,98,100,4.32,RU,2020-10-18
Ostrovnoy,68.05,39.51,34.41,85,59,13.8,RU,2020-10-18
Kawalu,-7.38,108.21,72.82,92,100,1.61,ID,2020-10-18
Cockburn Town,21.46,-71.14,82.63,78,100,15.01,TC,2020-10-18
Tilichiki,60.47,166.1,36.73,82,100,10.58,RU,2020-10-18
Tautira,-17.73,-149.15,82.4,74,40,19.46,PF,2020-10-18
Srednekolymsk,67.45,153.68,21.52,97,77,2.55,RU,2020-10-18
Ayan,56.45,138.17,25.93,85,73,18.03,RU,2020-10-18
Itarema,-2.92,-39.92,79.5,75,95,16.08,BR,2020-10-18
Talara,-4.58,-81.27,67.71,76,46,16.55,PE,2020-10-18
Geraldton,-28.77,114.6,59.0,87,90,4.7,AU,2020-10-18
Departamento de Maldonado,-34.67,-54.92,82.4,58,40,9.17,UY,2020-10-18
North Bend,43.41,-124.22,73.99,72,75,9.17,US,2020-10-18
Port Alfred,-33.59,26.89,61.75,81,65,6.96,ZA,2020-10-18
Markova,48.68,24.41,38.88,80,38,8.01,UA,2020-10-18
Sáránd,47.4,21.63,39.2,100,0,3.36,HU,2020-10-18
Panjakent,39.5,67.61,57.2,47,0,9.17,TJ,2020-10-18
Okha,53.57,142.95,34.39,86,90,20.89,RU,2020-10-18
Conde,-7.26,-34.91,80.6,69,20,12.75,BR,2020-10-18
Morristown,36.21,-83.29,70.0,48,1,5.82,US,2020-10-18
Steinbach am Taunus,50.17,8.57,52.0,87,100,6.93,DE,2020-10-18
Yangi Marg`ilon,40.43,71.72,55.4,50,0,6.93,UZ,2020-10-18
Klaksvík,62.23,-6.59,39.2,93,100,6.93,FO,2020-10-18
Alta Floresta,-9.88,-56.09,83.17,61,90,1.34,BR,2020-10-18
Nara,34.69,135.8,57.0,93,75,2.24,JP,2020-10-18
Nacala,-14.54,40.67,71.55,87,0,3.2,MZ,2020-10-18
Omsukchan,62.53,155.8,19.69,90,88,4.65,RU,2020-10-18
Leopold,-38.18,144.47,48.99,100,90,5.82,AU,2020-10-18
Saldanha,-33.01,17.94,57.2,82,100,6.93,ZA,2020-10-18
Russkiy Aktash,55.04,52.12,48.2,81,75,17.9,RU,2020-10-18
Mawlaik,23.63,94.42,74.8,94,100,1.68,MM,2020-10-18
Thompson,55.74,-97.86,30.2,80,75,6.93,CA,2020-10-18
Roebourne,-20.78,117.13,63.3,86,0,10.56,AU,2020-10-18
Nakamura,32.98,132.93,60.76,76,100,1.92,JP,2020-10-18
Banda Aceh,5.56,95.32,81.03,69,100,11.5,ID,2020-10-18
Chernukha,55.6,43.76,42.33,79,45,13.11,RU,2020-10-18
Ailigandí,9.23,-78.02,83.12,81,100,9.69,PA,2020-10-18
Bambous Virieux,-20.34,57.76,73.4,78,40,11.41,MU,2020-10-18
Vardø,70.37,31.11,39.2,64,40,13.87,NO,2020-10-18
Beisfjord,68.38,17.6,26.6,79,4,10.29,NO,2020-10-18
Bonfim,3.08,-59.95,92.32,46,60,2.08,BR,2020-10-18
Nishihara,26.18,127.76,77.0,94,40,5.82,JP,2020-10-18
Roald,62.58,6.13,37.4,93,75,4.7,NO,2020-10-18
Foz,43.57,-7.25,55.0,1,92,4.5,ES,2020-10-18
Campbell River,50.02,-125.24,48.99,100,90,3.36,CA,2020-10-18
Airai,-8.93,125.41,60.1,67,33,2.26,TL,2020-10-18
Nizwá,22.93,57.53,74.17,18,0,7.92,OM,2020-10-18
Rio Pardo de Minas,-15.61,-42.54,74.68,61,33,8.84,BR,2020-10-18
Revda,56.8,59.93,39.2,64,75,11.18,RU,2020-10-18
Makuyuni,-4.73,38.1,70.45,75,0,4.25,TZ,2020-10-18
Oistins,13.07,-59.53,84.2,70,40,4.7,BB,2020-10-18
Longyearbyen,78.22,15.64,26.6,73,20,8.05,SJ,2020-10-18
Palmer,42.16,-72.33,62.6,39,75,4.7,US,2020-10-18
Rio Grande,-32.03,-52.1,68.59,77,0,10.78,BR,2020-10-18
Manono,-7.3,27.42,73.24,76,1,3.33,CD,2020-10-18
Aykhal,66.0,111.5,12.2,92,75,4.47,RU,2020-10-18
Diré,12.28,-10.97,79.48,62,0,2.13,ML,2020-10-18
Koronowo,53.31,17.94,43.0,100,63,9.17,PL,2020-10-18
Yaan,7.38,8.57,75.31,85,54,3.83,NG,2020-10-18
Lorengau,-2.02,147.27,82.69,78,87,7.65,PG,2020-10-18
Phayao,19.25,100.25,66.27,96,100,1.03,TH,2020-10-18
Myingyan,21.47,95.38,78.49,78,100,5.77,MM,2020-10-18
Atar,20.52,-13.05,91.67,22,0,10.51,MR,2020-10-18
Indiana,40.0,-86.25,64.99,51,90,9.17,US,2020-10-18
Mossamedes,-15.2,12.15,69.46,74,16,3.56,AO,2020-10-18
Nikolskoye,59.7,30.79,37.4,86,90,6.71,RU,2020-10-18
Puerto Escondido,15.85,-97.07,86.0,66,40,5.82,MX,2020-10-18
Cidreira,-30.18,-50.21,68.58,82,61,20.74,BR,2020-10-18
Rocha,-34.48,-54.33,77.79,79,3,6.22,UY,2020-10-18
Acaponeta,22.5,-105.36,92.82,56,52,6.55,MX,2020-10-18
Ossora,59.24,163.07,36.07,80,91,5.88,RU,2020-10-18
Yeppoon,-23.13,150.73,66.2,82,7,2.39,AU,2020-10-18
Magadan,59.57,150.8,34.75,90,100,9.95,RU,2020-10-18
Nuuk,64.18,-51.72,53.6,50,40,20.8,GL,2020-10-18
Oodweyne,9.41,45.06,74.95,35,0,3.67,SO,2020-10-18
Assiut,27.18,31.18,75.2,50,0,9.17,EG,2020-10-18
Shingū,33.73,135.98,60.35,71,100,5.7,JP,2020-10-18
Darhan,49.49,105.92,37.15,71,100,6.76,MN,2020-10-18
Kieta,-6.22,155.63,81.39,75,84,1.39,PG,2020-10-18
Vostok,46.49,135.88,23.2,92,0,3.91,RU,2020-10-18
Greenville,35.61,-77.37,73.4,49,40,4.94,US,2020-10-18
Clyde River,70.47,-68.59,30.2,92,90,6.93,CA,2020-10-18
Gondanglegi,-7.75,112.01,76.68,83,89,10.51,ID,2020-10-18
Uslar,51.66,9.63,50.0,87,100,4.41,DE,2020-10-18
Leh,34.17,77.58,35.47,50,0,2.1,IN,2020-10-18
Vuktyl,63.86,57.31,29.68,97,100,7.11,RU,2020-10-18
Talnakh,69.49,88.4,15.8,92,90,6.71,RU,2020-10-18
Port Lincoln,-34.73,135.87,53.19,77,28,7.05,AU,2020-10-18
Adrar,20.5,-10.07,89.69,19,1,10.71,MR,2020-10-18
Narsaq,60.92,-46.05,37.4,74,88,2.24,GL,2020-10-18
Aklavik,68.22,-135.01,15.8,72,5,3.36,CA,2020-10-18
Namuac,18.61,121.17,78.51,84,57,10.2,PH,2020-10-18
Sola,-13.88,167.55,79.48,78,27,20.62,VU,2020-10-18
Formosa,-26.18,-58.18,98.6,32,20,12.75,AR,2020-10-18
Rognan,67.1,15.39,28.0,81,6,2.24,NO,2020-10-18
Govindgarh,27.5,76.98,77.77,19,47,0.65,IN,2020-10-18
Abu Samrah,35.3,37.18,64.51,44,78,5.66,SY,2020-10-18
Fort Nelson,58.81,-122.7,21.2,62,5,2.24,CA,2020-10-18
Tazovsky,67.47,78.7,21.24,95,95,14.54,RU,2020-10-18
Aranda de Duero,41.67,-3.69,54.52,49,98,4.5,ES,2020-10-18
Robertson,36.52,-86.87,60.01,100,75,8.52,US,2020-10-18
Billings Metropolitan Area,45.78,-108.5,28.0,85,90,5.82,US,2020-10-18
Qui Nhon,13.77,109.23,76.53,86,100,5.41,VN,2020-10-18
Chengde,40.97,117.94,44.19,57,0,2.71,CN,2020-10-18
Constantine,36.37,6.61,53.6,71,0,4.7,DZ,2020-10-18
Muros,42.78,-9.06,57.99,84,99,7.45,ES,2020-10-18
Cooma,-36.23,149.13,42.8,93,90,4.7,AU,2020-10-18
Monrovia,6.3,-10.8,78.8,88,75,7.49,LR,2020-10-18
Novy Urengoy,66.08,76.63,25.54,97,94,13.38,RU,2020-10-18
Bara,10.37,10.73,80.06,60,2,8.25,NG,2020-10-18
Natividade,-21.04,-41.97,69.69,74,100,3.98,BR,2020-10-18
Banepā,27.63,85.52,64.4,93,20,1.81,NP,2020-10-18
Beira,-19.84,34.84,71.6,83,0,5.82,MZ,2020-10-18
Tāki,22.59,88.92,80.6,88,40,3.36,IN,2020-10-18
San Quintín,30.48,-115.95,81.75,42,86,19.22,MX,2020-10-18
Coquimbo,-29.95,-71.34,60.8,72,20,11.41,CL,2020-10-18
Nabire,-3.37,135.48,75.27,88,100,2.68,ID,2020-10-18
Faya,18.39,42.45,64.4,18,0,8.05,SA,2020-10-18
Pucallpa,-8.38,-74.55,87.8,62,75,6.93,PE,2020-10-18
Cayenne,4.93,-52.33,86.0,66,25,10.29,GF,2020-10-18
West Bay,19.37,-81.42,82.4,78,75,6.93,KY,2020-10-18
Yambio,4.57,28.4,68.25,96,86,1.52,SS,2020-10-18
Gorontalo,0.54,123.06,74.48,87,100,1.63,ID,2020-10-18
Black River,18.03,-77.85,80.6,83,40,8.05,JM,2020-10-18
Mustafakemalpaşa,40.04,28.41,66.0,77,75,20.8,TR,2020-10-18
Libreville,0.39,9.45,80.6,83,40,6.93,GA,2020-10-18
Sinnamary,5.38,-52.95,82.87,74,57,9.64,GF,2020-10-18
Henties Bay,-22.12,14.28,60.01,89,0,3.0,NA,2020-10-18
Baykit,61.67,96.37,28.51,92,100,11.9,RU,2020-10-18
Fukuechō,32.69,128.84,68.52,59,100,18.81,JP,2020-10-18
Rafai,4.95,23.92,70.07,95,100,1.36,CF,2020-10-18
Puerto Carreño,6.19,-67.49,89.49,57,49,2.21,CO,2020-10-18
Lüderitz,-26.65,15.16,65.16,50,0,18.5,NA,2020-10-18
Comodoro Rivadavia,-45.87,-67.5,68.0,20,40,29.97,AR,2020-10-18
Aldan,58.6,125.39,7.84,92,2,6.73,RU,2020-10-18
Nokaneng,-19.67,22.27,73.6,19,0,5.75,BW,2020-10-18
Zhaoyuan,37.36,120.4,46.0,85,4,4.41,CN,2020-10-18
Svetlaya,46.54,138.33,37.65,70,100,4.85,RU,2020-10-18
Los Llanos de Aridane,28.66,-17.92,75.2,69,11,17.22,ES,2020-10-18
Olafsvik,64.89,-23.71,42.66,76,49,30.27,IS,2020-10-18
Aksarka,66.56,67.8,19.54,96,0,6.15,RU,2020-10-18
Yumen,40.28,97.2,43.21,48,100,17.58,CN,2020-10-18
Carbonear,47.73,-53.21,55.0,93,90,6.93,CA,2020-10-18
Sakakah,29.97,40.21,75.2,14,0,5.82,SA,2020-10-18
Kirovskiy,45.09,133.51,34.93,86,0,4.36,RU,2020-10-18
Riviere-au-Renard,49.0,-64.4,48.2,66,20,10.29,CA,2020-10-18
Bundaberg,-24.85,152.35,73.0,88,35,6.93,AU,2020-10-18
Gamba,-2.65,10.0,77.05,90,97,8.23,GA,2020-10-18
Pīshvā,35.31,51.73,57.2,25,0,6.93,IR,2020-10-18
Lake Shasta,40.68,-122.37,89.6,15,1,10.29,US,2020-10-18
São Félix do Xingu,-6.64,-51.99,89.13,39,76,1.57,BR,2020-10-18
College Station,30.63,-96.33,89.6,43,1,14.99,US,2020-10-18
